month_start,year,month,year_month,state,fatalities
1995-05-01,1995,5,1995-05,ACT,1
1995-05-01,1995,5,1995-05,NSW,48
1995-05-01,1995,5,1995-05,NT,5
1995-05-01,1995,5,1995-05,QLD,45
1995-05-01,1995,5,1995-05,SA,17
1995-05-01,1995,5,1995-05,TAS,7
1995-05-01,1995,5,1995-05,VIC,34
1995-05-01,1995,5,1995-05,WA,15
1995-06-01,1995,6,1995-06,ACT,1
1995-06-01,1995,6,1995-06,NSW,57
1995-06-01,1995,6,1995-06,NT,9
1995-06-01,1995,6,1995-06,QLD,42
1995-06-01,1995,6,1995-06,SA,16
1995-06-01,1995,6,1995-06,TAS,3
1995-06-01,1995,6,1995-06,VIC,41
1995-06-01,1995,6,1995-06,WA,18
1995-07-01,1995,7,1995-07,ACT,3
1995-07-01,1995,7,1995-07,NSW,51
1995-07-01,1995,7,1995-07,NT,4
1995-07-01,1995,7,1995-07,QLD,41
1995-07-01,1995,7,1995-07,SA,7
1995-07-01,1995,7,1995-07,TAS,4
1995-07-01,1995,7,1995-07,VIC,27
1995-07-01,1995,7,1995-07,WA,18
